InvoiceNo,CustomerID,InvoiceDate
CD001,CD001,29-Jun-2024
CD002,CD002,31-Aug-2024
CNOS2310-0008,SOLNA,12-Oct-2023
CNOS2311-0015,LS-0018,18-Nov-2023
CNOS2401-0003,GAUSS,5-Jan-2024
CNOS2404-0016,GAUSS,26-Apr-2024
CNOS2404-0018,LS-0007,30-Apr-2024
CNOS2405-0005,GAUSS,7-May-2024
CNOS2405-0009,SOLNA,16-May-2024
CNOS2408-0010,LS-0007,21-Aug-2024
CNOS2409-0005,GUSA,7-Sep-2024
CNTH2301-0001,LO-0012,14-Jan-2023
CNTH2301-0002,LO-0012,14-Jan-2023
CNTH2301-0003,LO-0012,19-Jan-2023
CNTH2301-0004,PH0001,19-Jan-2023
CNTH2301-0005,BB0009,19-Jan-2023
CNTH2301-0006,PH0001,24-Jan-2023
CNTH2301-0007,PH0001,26-Jan-2023
CNTH2301-0008,BK0004,26-Jan-2023
CNTH2301-0009,BK0004,26-Jan-2023
CNTH2301-0010,BT0012,26-Jan-2023
CNTH2301-0011,OSTL O,30-Jan-2023
CNTH2301-0012,BU-001,30-Jan-2023
CNTH2302-0001,OSTL O,2-Feb-2023
CNTH2302-0002,PS0008,8-Feb-2023
CNTH2302-0003,PH0001,9-Feb-2023
CNTH2302-0004,TK0001,13-Feb-2023
CNTH2302-0005,BO0012,14-Feb-2023
CNTH2302-0006,PS0008,15-Feb-2023
CNTH2302-0007,BK0004,17-Feb-2023
CNTH2302-0008,PI0002,17-Feb-2023
CNTH2302-0009,PH0001,21-Feb-2023
CNTH2302-0010,LE0001,21-Feb-2023
CNTH2302-0011,LO-0012,27-Feb-2023
CNTH2302-0012,LO-0012,27-Feb-2023
CNTH2302-0013,LO-0012,27-Feb-2023
CNTH2302-0014,LO-0012,27-Feb-2023
CNTH2302-0015,LO-0012,27-Feb-2023
CNTH2302-0016,BAP001,27-Feb-2023
CNTH2302-0017,US0002,27-Feb-2023
CNTH2302-0018,SY0001,27-Feb-2023
CNTH2302-0019,SY0001,27-Feb-2023
CNTH2302-0020,BP-0019,27-Feb-2023
CNTH2302-0021,BP-0019,27-Feb-2023
CNTH2302-0022,LO-0027,28-Feb-2023
CNTH2302-0023,LO-0023,28-Feb-2023
CNTH2302-0024,LO-0027,28-Feb-2023
CNTH2303-0001,BT0002,4-Mar-2023
CNTH2303-0002,CP0001,4-Mar-2023
CNTH2303-0003,RT0001,7-Mar-2023
CNTH2303-0004,PS0003,14-Mar-2023
CNTH2303-0005,BG0004,27-Mar-2023
CNTH2303-0006,BM0003,27-Mar-2023
CNTH2303-0007,BV0007,27-Mar-2023
CNTH2303-0008,BT0012,27-Mar-2023
CNTH2303-0009,SH0001,29-Mar-2023
CNTH2303-0010,CE0001,29-Mar-2023
CNTH2303-0011,BT0002,29-Mar-2023
CNTH2303-0012,LO-0027,28-Mar-2023
CNTH2303-0013,SH0001,31-Mar-2023
CNTH2303-0014,BG0004,31-Mar-2023
CNTH2303-0015,LO-0012,31-Mar-2023
CNTH2303-0016,LO-0012,31-Mar-2023
CNTH2304-0001,BW0002,1-Apr-2023
CNTH2304-0002,BU-001,5-Apr-2023
CNTH2304-0003,BU-001,10-Apr-2023
CNTH2304-0004,NT0003,10-Apr-2023
CNTH2304-0005,BT0002,21-Apr-2023
CNTH2304-0006,BO0020,21-Apr-2023
CNTH2304-0007,BC0002,21-Apr-2023
CNTH2304-0008,UD0001,21-Apr-2023
CNTH2304-0009,SH0001,21-Apr-2023
CNTH2304-0010,BO0020,24-Apr-2023
CNTH2304-0011,BT0002,24-Apr-2023
CNTH2305-0001,LS-0018,5-May-2023
CNTH2305-0002,BV0015,5-May-2023
CNTH2305-0003,BT0012,8-May-2023
CNTH2305-0004,BU-001,10-May-2023
CNTH2305-0005,BU-001,10-May-2023
CNTH2305-0006,BE0002,10-May-2023
CNTH2305-0007,BT0002,12-May-2023
CNTH2305-0008,BC0002,12-May-2023
CNTH2305-0009,UD0001,12-May-2023
CNTH2305-0010,BL0001,12-May-2023
CNTH2305-0011,RT0001,12-May-2023
CNTH2305-0012,BN0012,12-May-2023
CNTH2305-0013,SH0001,12-May-2023
CNTH2305-0014,CC0005,12-May-2023
CNTH2305-0015,BT0002,15-May-2023
CNTH2305-0016,BC0002,15-May-2023
CNTH2305-0017,UD0001,15-May-2023
CNTH2305-0018,BT0002,16-May-2023
CNTH2305-0019,BC0002,16-May-2023
CNTH2305-0020,BC0002,18-May-2023
CNTH2305-0021,UD0001,18-May-2023
CNTH2305-0022,CF0001,18-May-2023
CNTH2305-0023,PH0001,18-May-2023
CNTH2305-0024,LO-0012,18-May-2023
CNTH2305-0025,UD0001,20-May-2023
CNTH2305-0026,CC0005,20-May-2023
CNTH2305-0027,BT0002,23-May-2023
CNTH2305-0028,BT0002,23-May-2023
CNTH2305-0029,BC0002,23-May-2023
CNTH2305-0030,BT0012,23-May-2023
CNTH2305-0031,BT0002,24-May-2023
CNTH2305-0032,BC0002,24-May-2023
CNTH2305-0033,CK0002,24-May-2023
CNTH2305-0034,CK0002,24-May-2023
CNTH2305-0035,BC0002,29-May-2023
CNTH2305-0036,BT0002,29-May-2023
CNTH2305-0037,BT0002,30-May-2023
CNTH2305-0038,BC0002,30-May-2023
CNTH2305-0039,PH0001,30-May-2023
CNTH2305-0040,BK0005,31-May-2023
CNTH2305-0041,BT0002,31-May-2023
CNTH2305-0042,UD0001,31-May-2023
CNTH2305-0043,PY0001,31-May-2023
CNTH2305-0044,CC0005,31-May-2023
CNTH2306-0001,BK0005,1-Jun-2023
CNTH2306-0002,BK0005,1-Jun-2023
CNTH2306-0003,BT0002,1-Jun-2023
CNTH2306-0004,PH0001,1-Jun-2023
CNTH2306-0005,RT0001,7-Jun-2023
CNTH2306-0006,BK0009,7-Jun-2023
CNTH2306-0007,LO-0012,7-Jun-2023
CNTH2306-0008,BT0002,8-Jun-2023
CNTH2306-0009,UD0001,8-Jun-2023
CNTH2306-0010,CC0005,8-Jun-2023
CNTH2306-0011,PH0001,8-Jun-2023
CNTH2306-0012,BT0002,10-Jun-2023
CNTH2306-0013,UD0001,10-Jun-2023
CNTH2306-0014,PY0001,10-Jun-2023
CNTH2306-0015,BK0005,12-Jun-2023
CNTH2306-0016,BT0002,14-Jun-2023
CNTH2306-0017,UD0001,14-Jun-2023
CNTH2306-0018,BT0002,17-Jun-2023
CNTH2306-0019,UD0001,17-Jun-2023
CNTH2306-0020,BT0002,20-Jun-2023
CNTH2306-0021,PS0003,20-Jun-2023
CNTH2306-0022,BK0009,20-Jun-2023
CNTH2306-0023,PH0001,20-Jun-2023
CNTH2306-0024,NT0001,20-Jun-2023
CNTH2306-0025,BT0012,20-Jun-2023
CNTH2306-0026,CK0003,20-Jun-2023
CNTH2306-0027,RT0001,20-Jun-2023
CNTH2306-0028,BT0002,21-Jun-2023
CNTH2306-0029,BC0002,21-Jun-2023
CNTH2306-0030,UD0001,21-Jun-2023
CNTH2306-0031,CC0005,21-Jun-2023
CNTH2306-0032,PH0001,21-Jun-2023
CNTH2306-0033,BW0006,21-Jun-2023
CNTH2306-0034,BW0006,21-Jun-2023
CNTH2306-0035,LO-0012,21-Jun-2023
CNTH2306-0036,LO-0012,21-Jun-2023
CNTH2306-0037,BK0005,23-Jun-2023
CNTH2306-0038,PS0003,23-Jun-2023
CNTH2306-0039,BT0002,27-Jun-2023
CNTH2306-0040,UD0001,27-Jun-2023
CNTH2306-0041,BT0002,28-Jun-2023
CNTH2306-0042,BC0002,28-Jun-2023
