ProductId,lenstype,Part_Description,Material_Type,Lens_Type,price
1,Shamir Attitude III Fashion,1.50 Attitude III Fashion 15mm DriveWear  Glacier Plus UV,,Rx,"4,733.65"
2,Shamir Attitude III Fashion,1.50 Attitude III Fashion 15mm Plastic Solid Tint Power Silver Mirror,Plastic,Rx,"3,401.87"
3,Shamir Attitude III Fashion,1.50 Attitude III Fashion 18mm Plastic Gradient Tint Glacier Plus UV,,Rx,"3,168.23"
4,Shamir Attitude III SV,1.50 Attitude III SV  NuPolar Green  Glacier Plus UV,,Rx,"2,476.64"
5,Shamir Attitude III SV,1.50 Attitude III SV  Plastic Solid Tint Power Orange Mirror,,Rx,"1,845.80"
6,Shamir Attitude III SV,1.50 Attitude III SV  Plastic Solid Tint Power Red Mirror,,Rx,"1,845.80"
7,Shamir Attitude III SV,1.50 Attitude III SV  Transitions Grey  Glacier Plus UV,Transitions,Rx,"2,710.28"
8,Shamir Attitude III SV,1.50 Attitude III SV  Transitions Grey  Glacier Plus UV,Transitions,Rx,
9,Shamir InTouch AW,1.50 Autograph InTouch AW 15mm Plastic Gradient Tint Glacier Sun UV,,Rx,"3,014.02"
10,Shamir InTouch AW,1.50 Autograph InTouch AW 15mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"4,266.36"
11,Shamir InTouch AW,1.50 Autograph InTouch AW 15mm Transitions Brown  Glacier Plus UV,Transitions,Rx,
12,Shamir InTouch AW,1.50 Autograph InTouch AW 15mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"4,266.36"
13,Shamir InTouch AW,1.50 Autograph InTouch AW 18mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"2,943.93"
14,Shamir Urban,1.50 Autograph Urban 16mm Blue Zero Glacier Plus,Blue Zero,Rx,"2,163.55"
15,Shamir Urban,1.50 Autograph Urban 16mm Plastic BlueShield,Blue Zero,Rx,"2,219.63"
16,Shamir Urban,1.50 Autograph Urban 16mm Plastic Clear UC,Clear,Rx,"2,009.35"
17,Shamir Urban,1.50 Autograph Urban 16mm Plastic Gradient Tint Glacier Plus UV,,Rx,"2,079.44"
18,Shamir Urban,1.50 Autograph Urban 16mm Plastic Solid Tint Glacier Plus UV,,Rx,"2,079.44"
19,Shamir Urban,1.50 Autograph Urban 16mm Plastic Solid Tint Power Orange Mirror,,Rx,"2,313.09"
20,Shamir Urban,1.50 Autograph Urban 16mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"3,331.78"
21,Shamir Urban,1.50 Autograph Urban 16mm Transitions Brown  Glacier Plus UV,Transitions,Rx,
22,Shamir Urban,1.50 Autograph Urban 16mm Transitions Green  Glacier Plus UV,Transitions,Rx,"3,331.78"
23,Shamir Urban,1.50 Autograph Urban 16mm Transitions Grey BlueShield,Transitions,Rx,"2,149.54"
24,Shamir Urban,1.50 Autograph Urban 16mm Transitions XTRActive Grey  Glacier Plus,Transitions,Rx,"3,331.78"
25,Shamir Urban,1.50 Autograph Urban 19mm NuPolar Grey  Glacier Sun UV,,Rx,"3,331.78"
26,Shamir Urban,1.50 Autograph Urban 19mm Plastic Gradient Tint Glacier Plus UV,,Rx,"2,079.44"
27,Shamir Urban,1.50 Autograph Urban 19mm Plastic Solid Tint Glacier Plus UV,,Rx,"2,079.44"
28,Shamir Urban,1.50 Autograph Urban 19mm Plastic Solid Tint Power Silver Mirror,,Rx,"2,313.09"
29,Shamir Urban,1.50 Autograph Urban 19mm Transitions Brown  Glacier Plus UV,Transitions,Rx,"3,331.78"
30,Shamir Urban,1.50 Autograph Urban 19mm Transitions Green  Glacier Plus UV,Transitions,Rx,"2,009.35"
31,Shamir Urban,1.50 Autograph Urban 19mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"2,943.93"
32,Shamir Duo,1.50 DUO 14mm Transitions Green  Glacier Plus UV,Transitions,Rx,"1,728.97"
33,Shamir Duo,1.50 DUO 14mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"1,728.97"
34,Shamir Duo,1.50 DUO 14mm Transitions Grey  Glacier Plus UV,,,
35,Shamir First PAL,1.50 First PAL 15mm NuPolar Green  Glacier Plus UV,,Rx,"1,228.97"
36,Shamir First PAL,1.50 First PAL 15mm Plastic Clear Glacier Plus UV,Clear,Rx,607.48
37,Shamir First PAL,1.50 First PAL 15mm Plastic Clear Glacier Plus UV,Clear,Rx,
38,Shamir First PAL,1.50 First PAL 15mm Plastic Gradient Tint Glacier Plus UV,,Rx,677.57
39,Shamir First PAL,1.50 First PAL 15mm Plastic Solid Tint Glacier Plus UV,,Rx,677.57
40,Shamir First PAL,1.50 First PAL 15mm Plastic Solid Tint Power Blue Mirror,Blue Zero,Rx,911.22
41,Shamir Autograph Intelligence,1.50 MV KQ8 18mm Clear HemiC,,,373.56
42,Shamir Autograph Intelligence,1.50 MV KQ8 18mm Clear HemiC,,,
43,Shamir Relax 0.80,1.50 Relax 0.80 16mm Plastic Solid Tint Glacier Plus,,Rx,691.59
44,Shamir Relax 0.80,1.50 Relax 0.80 16mm Transitions Grey Glacier Plus UV,Transitions,Rx,"1,635.52"
45,Rx,1.50 RX Clear HMX VR FRAME,Clear,Rx,215.7
46,Stock Plano,1.50 STOCK Plano Clear AntiBlue HTC Vive,Blue Zero,Stock,65.42
47,Shamir Attitude III Fashion,1.53 Attitude III Fashion 18mm Trivex Clear Glacier Plus UV,Clear,Rx,"3,719.63"
48,Shamir Attitude III Sports,1.53 Attitude III Sports 18mm Trivex Clear Glacier Plus UV,Clear,Rx,"3,719.63"
49,Shamir Autograph III,1.53 Autograph III 18mm Trivex Transitions Grey  Glacier Plus UV,Transitions,Rx,"4,500.00"
50,Shamir Urban,1.53 Autograph Urban 19mm Trivex Clear Glacier Plus UV,Clear,Rx,"2,630.84"
51,Shamir Duo,1.53 DUO 14mm Trivex Clear Glacier Plus UV,Trivex,Rx,"1,028.04"
52,Shamir InTouch AW,1.59 Autograph InTouch AW 18mm Polycarbonate Transitions Grey  Glacier Plus UV,Transitions,Rx,692.35
53,Shamir InTouch AW,1.59 Autograph InTouch AW 18mm Polycarbonate Transitions Grey  Glacier Plus UV,Transitions,Rx,
54,Shamir Urban,1.59 Autograph Urban 16mm Polycarbonate Transitions Brown  Glacier Plus UV,Transitions,Rx,"3,953.27"
55,Shamir Urban,1.59 Autograph Urban 16mm Polycarbonate Transitions Grey  Glacier Plus UV,Transitions,Rx,"2,630.84"
56,Shamir Urban,1.59 Autograph Urban 19mm Polycarbonate Clear Glacier Plus UV,Clear,Rx,"2,630.84"
57,Shamir Duo,1.59 DUO 14mm Polycarbonate Clear Glacier Plus UV,Clear,Rx,"1,028.04"
58,DUO Bifocal Freeform,1.59 DUO 14mm Polycarbonate Transitions Grey  Glacier Plus UV,Transitions,Rx,"2,196.26"
59,Shamir Duo,1.59 DUO 14mm Polycarbonate Transitions Grey  Glacier Plus UV,Transitions,Rx,
60,Shamir First PAL,1.59 First PAL 15mm Polycarbonate Clear Glacier Plus UV,Clear,Rx,"1,074.77"
61,Shamir Attitude III Fashion,1.60 Attitude III Fashion 15mm NuPolar Grey  Glacier Plus UV,Polarized Grey,,"4,813.09"
62,Shamir Attitude III Fashion,1.60 Attitude III Fashion 15mm Plastic Gradient Tint Glacier Plus UV,,Rx,"3,789.72"
63,Shamir Attitude III Fashion,1.60 Attitude III Fashion 15mm Plastic Solid Tint Glacier Plus UV,,Rx,"3,789.73"
64,Shamir Attitude III Fashion,1.60 Attitude III Fashion 15mm Transitions Grey  Glacier Plus UV,Transitions,Rx,"5,046.73"
65,Shamir Attitude III Fashion,1.60 Attitude III Fashion 18mm Plastic Gradient Tint Glacier Plus UV,,Rx,"3,789.73"
66,Shamir Attitude III Fashion,1.60 Attitude III Fashion 18mm Plastic Solid Tint Glacier Plus UV,,Rx,"3,789.72"
67,Shamir Attitude III Fashion,1.60 Attitude III Fashion 18mm Plastic Solid Tint Glacier Sun UV,,Rx,"3,789.73"
68,Shamir Attitude III Fashion,1.60 Attitude III Fashion 18mm Plastic Solid Tint Power Silver Mirror,,Rx,"4,023.37"
69,Shamir Attitude III Fashion,1.60 Attitude III Fashion 18mm Plastic Solid Tint Power Silver Mirror,,Rx,
70,Shamir Attitude III Golf,1.60 Attitude III Golf 19mm Plastic Clear Glacier Plus UV,Clear,Rx,"3,719.63"
71,Shamir Attitude III Golf,1.60 Attitude III Golf 19mm Plastic Solid Tint Power Silver Mirror,,,"4,023.37"
72,Shamir Attitude III Golf,1.60 Attitude III Golf SV  Plastic Gradient Tint Glacier Plus UV,,Rx,"3,789.72"
73,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm NuPolar Grey  Glacier Plus UV,,Rx,"4,813.09"
74,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm NuPolar Grey  Power Silver Mirror,,Rx,"3,331.78"
75,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm Plastic Clear Glacier Plus UV,Clear,Rx,"3,719.63"
76,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm Plastic Solid Tint Glacier Sun UV,,Rx,"4,023.36"
77,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm Plastic Solid Tint Power Blue Mirror,Blue Zero,Rx,"4,023.37"
78,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm Plastic Solid Tint Power Silver Mirror,,Rx,"4,023.37"
79,Shamir Attitude III Sports,1.60 Attitude III Sports 18mm Transitions Green  Glacier Plus UV,Transitions,Rx,"5,046.73"
80,Shamir Attitude III SV,1.60 Attitude III SV  NuPolar Brown  Glacier Plus UV,,Rx,"2,943.93"
81,Shamir Attitude III SV,1.60 Attitude III SV  NuPolar Brown  Power Blue Mirror,Blue Zero,Rx,"3,177.57"
82,Shamir Attitude III SV,1.60 Attitude III SV  NuPolar Green  Glacier Sun UV,Polarized Green,,"3,177.57"
83,Shamir Attitude III SV,1.60 Attitude III SV  NuPolar Grey  Glacier Plus UV,,Rx,"3,098.14"
84,Shamir Attitude III SV,1.60 Attitude III SV  NuPolar Grey  Power Red Mirror,,Rx,616.88
85,Shamir Attitude III SV,1.60 Attitude III SV  NuPolar Grey  Power Red Mirror,,Rx,
86,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Gradient Tint Glacier Plus UV,,Rx,"2,079.44"
87,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Gradient Tint Glacier Plus UV,,Rx,
88,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Gradient Tint Power Silver Mirror,,Rx,"2,313.09"
89,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Glacier Plus UV,,Rx,"2,079.44"
90,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Glacier Plus UV,,Rx,
91,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Glacier Sun UV,,Rx,"2,313.08"
92,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Power Blue Mirror,Blue Zero,Rx,683.23
93,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Power Blue Mirror,Blue Zero,Rx,
94,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Power Gold Mirror,,Rx,"2,313.08"
95,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Power Red Mirror,,Rx,"2,079.45"
96,Shamir Attitude III SV,1.60 Attitude III SV  Plastic Solid Tint Power Silver Mirror,,Rx,"2,313.09"
97,Shamir InTouch AW,1.60 Autograph InTouch AW 15mm Plastic Clear Glacier Plus UV,Clear,Rx,0.5
