InvoiceNo,ProductId,Quantity,TypeId,Reorder_Cause_ID
CNOS2310-0008,1244,2,1,
CNOS2311-0015,676,2,1,
CNOS2311-0015,708,2,1,
CNOS2311-0015,1316,2,1,
CNOS2311-0015,1319,2,1,
CNOS2311-0015,1321,2,1,
CNOS2311-0015,1326,2,1,
CNOS2311-0015,1338,2,1,
CNOS2311-0015,1365,2,1,
CNOS2311-0015,1373,2,1,
CNOS2311-0015,1379,2,1,
CNOS2311-0015,1384,2,1,
CNOS2311-0015,1385,2,1,
CNOS2311-0015,2447,1,1,
CNOS2311-0015,2466,2,1,
CNOS2401-0003,983,1,1,
CNOS2404-0016,189,2,1,
CNOS2404-0016,191,2,1,
CNOS2404-0016,194,2,1,
CNOS2404-0018,1406,1,1,
CNOS2404-0018,1438,2,1,
CNOS2404-0018,1468,2,1,
CNOS2405-0005,189,10,1,
CNOS2405-0005,191,6,1,
CNOS2405-0005,192,6,1,
CNOS2405-0005,194,2,1,
CNOS2405-0005,196,2,1,
CNOS2405-0005,197,2,1,
CNOS2405-0005,1606,4,1,
CNOS2405-0005,3091,2,1,
CNOS2405-0005,3244,2,1,
CNOS2405-0005,3398,2,1,
CNOS2405-0009,1357,2,1,
CNOS2408-0010,1397,2,1,
CNOS2408-0010,2537,2,1,
CNOS2409-0005,3482,2,1,
CNTH2301-0001,3076,2,1,
CNTH2301-0002,941,2,1,
CNTH2301-0003,2848,2,1,
CNTH2301-0004,2625,2,1,
CNTH2301-0005,2043,2,1,
CNTH2301-0005,3298,2,1,
CNTH2301-0006,852,2,1,
CNTH2301-0007,3443,2,1,
CNTH2301-0008,3169,2,1,
CNTH2301-0009,1835,2,1,
CNTH2301-0010,985,2,1,
CNTH2301-0010,2616,2,1,
CNTH2301-0011,1270,1,1,
CNTH2301-0011,1270,2,1,
CNTH2301-0012,2388,2,1,
CNTH2302-0001,1270,3,1,
CNTH2302-0002,52,74,1,
CNTH2302-0003,2662,2,1,
CNTH2302-0004,2120,1,1,
CNTH2302-0005,152,1,1,
CNTH2302-0006,115,23,1,
CNTH2302-0007,56,2,1,
CNTH2302-0008,1677,2,1,
CNTH2302-0009,666,2,1,
CNTH2302-0010,666,2,1,
CNTH2302-0011,2925,2,1,
CNTH2302-0012,2825,2,1,
CNTH2302-0013,2781,2,1,
CNTH2302-0014,2773,2,1,
CNTH2302-0015,2848,2,1,
CNTH2302-0016,530,2,1,
CNTH2302-0017,3420,2,1,
CNTH2302-0018,2630,2,1,
CNTH2302-0019,2388,2,1,
CNTH2302-0020,1835,2,1,
CNTH2302-0021,2357,2,1,
CNTH2302-0022,86,2,1,
CNTH2302-0023,3269,2,1,
CNTH2302-0024,157,2,1,
CNTH2303-0001,33,2,1,
CNTH2303-0002,3431,1,1,
CNTH2303-0003,2639,2,1,
CNTH2303-0004,983,1,1,
CNTH2303-0004,1154,2,1,
CNTH2303-0005,22,2,1,
CNTH2303-0006,1835,2,1,
CNTH2303-0007,1762,2,1,
CNTH2303-0008,476,2,1,
CNTH2303-0008,985,2,1,
CNTH2303-0009,3190,2,1,
CNTH2303-0010,2032,2,1,
CNTH2303-0011,3420,2,1,
CNTH2303-0012,3269,2,1,
CNTH2303-0013,3391,2,1,
CNTH2303-0014,3387,2,1,
CNTH2303-0015,3016,40,1,
CNTH2303-0016,2972,84,1,
CNTH2304-0001,3264,2,1,
CNTH2304-0002,610,2,1,
CNTH2304-0003,387,2,1,
CNTH2304-0004,3387,2,1,
CNTH2304-0005,3431,13,1,
CNTH2304-0006,3387,52,1,
CNTH2304-0007,3420,6,1,
CNTH2304-0008,3387,32,1,
CNTH2304-0009,1601,1,1,
CNTH2304-0010,3431,2,1,
CNTH2304-0011,3431,42,1,
CNTH2305-0001,2499,2,1,
CNTH2305-0002,3401,88,1,
CNTH2305-0003,3443,2,1,
CNTH2305-0004,1772,2,1,
CNTH2305-0005,1772,2,1,
CNTH2305-0006,3163,2,1,
CNTH2305-0007,1264,1,1,
CNTH2305-0008,1264,1,1,
CNTH2305-0009,1264,1,1,
CNTH2305-0010,3254,2,1,
CNTH2305-0011,666,2,1,
CNTH2305-0012,985,2,1,
CNTH2305-0012,2665,2,1,
CNTH2305-0013,1264,1,1,
CNTH2305-0014,1264,1,1,
CNTH2305-0015,1264,1,1,
CNTH2305-0016,1264,1,1,
CNTH2305-0017,1264,1,1,
CNTH2305-0018,1264,1,1,
CNTH2305-0019,1264,1,1,
CNTH2305-0020,1264,1,1,
CNTH2305-0021,1264,1,1,
CNTH2305-0022,3245,2,1,
CNTH2305-0023,2661,2,1,
CNTH2305-0024,2987,1,1,
CNTH2305-0025,1264,1,1,
CNTH2305-0026,1264,1,1,
CNTH2305-0027,1264,1,1,
CNTH2305-0028,1264,1,1,
CNTH2305-0029,1264,1,1,
CNTH2305-0030,3420,2,1,
CNTH2305-0031,1264,1,1,
CNTH2305-0032,1264,1,1,
CNTH2305-0033,985,1,1,
CNTH2305-0033,2258,2,1,
CNTH2305-0034,36,2,1,
CNTH2305-0034,983,1,1,
CNTH2305-0035,1264,1,1,
CNTH2305-0036,1264,1,1,
CNTH2305-0037,1264,1,1,
CNTH2305-0038,1264,1,1,
CNTH2305-0039,1264,1,1,
CNTH2305-0040,2042,2,1,
CNTH2305-0041,1264,1,1,
CNTH2305-0042,1264,1,1,
CNTH2305-0043,1264,1,1,
CNTH2305-0044,1264,1,1,
CNTH2306-0001,344,2,1,
CNTH2306-0002,2078,2,1,
CNTH2306-0003,1264,1,1,
CNTH2306-0004,1264,1,1,
CNTH2306-0005,2052,2,1,
CNTH2306-0006,1772,2,1,
CNTH2306-0007,2858,6,1,
CNTH2306-0008,1264,1,1,
CNTH2306-0009,1264,1,1,
CNTH2306-0010,1264,1,1,
CNTH2306-0011,1264,1,1,
CNTH2306-0012,1264,1,1,
CNTH2306-0013,1264,1,1,
CNTH2306-0014,1264,1,1,
CNTH2306-0015,2050,2,1,
CNTH2306-0016,1264,1,1,
CNTH2306-0017,1264,1,1,
CNTH2306-0018,1264,1,1,
CNTH2306-0019,1264,1,1,
CNTH2306-0020,3473,1,1,
CNTH2306-0021,3473,1,1,
CNTH2306-0022,3473,1,1,
CNTH2306-0023,3473,1,1,
CNTH2306-0024,3473,1,1,
CNTH2306-0025,3473,1,1,
CNTH2306-0026,3473,1,1,
CNTH2306-0027,3473,1,1,
CNTH2306-0028,1264,1,1,
CNTH2306-0029,1264,1,1,
CNTH2306-0030,1264,1,1,
CNTH2306-0031,1264,1,1,
CNTH2306-0032,1264,1,1,
CNTH2306-0033,2412,2,1,
CNTH2306-0034,2430,2,1,
CNTH2306-0035,2815,2,1,
CNTH2306-0036,986,1,1,
CNTH2306-0036,2781,1,1,
CNTH2306-0037,495,2,1,
CNTH2306-0038,548,2,1,
CNTH2306-0038,984,1,1,
CNTH2306-0038,986,2,1,
CNTH2306-0039,1264,1,1,
CNTH2306-0040,1264,1,1,
CNTH2306-0041,1264,1,1,
CNTH2306-0042,1264,1,1,
CNTH2306-0043,1264,1,1,
CNTH2306-0044,1264,1,1,
CNTH2306-0045,1264,1,1,
CNTH2306-0046,575,1,1,
CNTH2306-0047,2561,2,1,
CNTH2307-0001,631,2,1,
CNTH2307-0002,1264,1,1,
CNTH2307-0003,1264,1,1,
CNTH2307-0004,1264,1,1,
CNTH2307-0005,1264,1,1,
CNTH2307-0006,1264,1,1,
CNTH2307-0007,1264,1,1,
CNTH2307-0008,1264,1,1,
CNTH2307-0009,3418,2,1,
CNTH2307-0010,600,2,1,
CNTH2307-0011,1264,1,1,
CNTH2307-0012,1264,1,1,
CNTH2307-0013,1264,1,1,
CNTH2307-0014,1264,1,1,
CNTH2307-0015,1264,1,1,
CNTH2307-0016,1264,1,1,
CNTH2307-0017,1264,1,1,
CNTH2307-0018,2167,2,1,0
CNTH2307-0019,951,2,1,
CNTH2307-0020,2918,2,1,
CNTH2307-0021,1264,1,1,
CNTH2307-0022,1264,1,1,
CNTH2307-0023,1264,1,1,
CNTH2307-0024,578,2,1,
CNTH2307-0025,1264,1,1,
CNTH2307-0026,1264,1,1,
CNTH2307-0027,1264,1,1,
CNTH2307-0028,1264,1,1,
CNTH2307-0029,3324,2,1,
CNTH2307-0030,1264,1,1,
CNTH2307-0031,1264,1,1,
CNTH2307-0032,1264,1,1,
CNTH2307-0033,1264,1,1,
CNTH2307-0034,1264,1,1,
CNTH2307-0035,1264,1,1,
CNTH2307-0036,1264,1,1,
CNTH2307-0037,3422,2,1,
CNTH2307-0038,1182,2,1,
CNTH2308-0001,2357,2,1,
CNTH2308-0002,984,1,1,
CNTH2308-0002,2258,2,1,
CNTH2308-0003,986,2,1,
CNTH2308-0004,1264,1,1,
CNTH2308-0005,1264,1,1,
CNTH2308-0006,3418,2,1,
CNTH2308-0007,1264,2,1,
CNTH2308-0008,1264,2,1,
CNTH2308-0009,1264,2,1,
CNTH2308-0010,1264,2,1,
CNTH2308-0011,1264,2,1,
CNTH2308-0012,1264,1,1,
CNTH2308-0013,1264,1,1,
CNTH2308-0014,1264,2,1,
CNTH2308-0015,1264,2,1,
CNTH2308-0016,1264,2,1,
CNTH2308-0017,1264,2,1,
CNTH2308-0018,600,28,1,
CNTH2308-0019,1264,1,1,
CNTH2308-0020,1264,1,1,
CNTH2308-0021,1264,1,1,
CNTH2308-0022,1264,1,1,
CNTH2308-0023,2835,12,1,
CNTH2308-0024,579,2,1,
CNTH2308-0025,3264,2,1,
CNTH2308-0026,1264,2,1,
CNTH2308-0027,1264,1,1,
CNTH2308-0028,1264,1,1,
CNTH2309-0001,2972,2,1,
CNTH2309-0002,1264,1,1,
CNTH2309-0003,1264,1,1,
CNTH2309-0004,984,1,1,
CNTH2309-0004,3125,2,1,
CNTH2309-0005,755,2,1,
CNTH2309-0006,1264,1,1,
CNTH2309-0007,1264,1,1,
CNTH2309-0008,1264,1,1,
CNTH2309-0009,1264,1,1,
CNTH2309-0010,1264,1,1,
CNTH2309-0011,1264,1,1,
CNTH2309-0012,1264,1,1,
CNTH2309-0013,1264,1,1,
CNTH2309-0014,306,2,1,
CNTH2309-0015,1264,1,1,
CNTH2309-0016,1264,1,1,
CNTH2309-0017,1264,1,1,
CNTH2309-0018,1264,1,1,
CNTH2309-0019,1264,1,1,
CNTH2309-0020,1264,1,1,
CNTH2309-0021,1264,1,1,
CNTH2309-0022,744,2,1,
CNTH2309-0022,977,2,1,
CNTH2309-0022,1639,2,1,
CNTH2309-0023,3280,2,1,
CNTH2309-0024,89,2,1,
CNTH2309-0024,986,2,1,
CNTH2309-0025,2649,2,1,
CNTH2309-0026,1264,1,1,
CNTH2309-0027,1264,1,1,
CNTH2309-0028,1264,1,1,
CNTH2309-0029,986,2,1,
CNTH2309-0029,3124,2,1,
CNTH2309-0030,1264,1,1,
CNTH2309-0031,1264,1,1,
CNTH2309-0032,1264,1,1,
CNTH2309-0033,1264,1,1,
CNTH2309-0034,1264,1,1,
CNTH2309-0035,1264,1,1,
CNTH2310-0001,984,1,1,
CNTH2310-0002,748,2,1,
CNTH2310-0003,1264,1,1,
CNTH2310-0004,1264,1,1,
CNTH2310-0005,1264,1,1,
CNTH2310-0006,3173,2,1,
CNTH2310-0007,1016,1,1,
CNTH2310-0008,3422,2,1,
CNTH2310-0009,358,2,1,
CNTH2310-0010,719,1,1,
CNTH2310-0011,984,1,1,
CNTH2310-0011,3387,2,1,
CNTH2310-0011,3387,14,1,
CNTH2310-0012,748,2,1,
CNTH2310-0013,1264,2,1,
CNTH2310-0014,1264,1,1,
CNTH2310-0015,1264,1,1,
CNTH2310-0016,1264,1,1,
CNTH2310-0017,1264,1,1,
CNTH2310-0018,1264,1,1,
CNTH2310-0019,1264,1,1,
CNTH2310-0020,1264,1,1,
CNTH2310-0021,1838,2,1,
